year,rate,Norm
1969,47.895,0.362840909
1962,47.888,0.362787879
1961,47.885,0.362765152
1986,47.879,0.362719697
1989,47.876,0.36269697
1960,47.876,0.36269697
1986,47.875,0.362689394
1976,47.875,0.362689394
1968,47.872,0.362666667
1963,47.869,0.362643939
1966,47.868,0.362636364
1975,47.858,0.362560606
1965,47.852,0.362515152
2000,47.846,0.362469697
1987,47.845,0.362462121
1966,47.842,0.362439394
1971,47.842,0.362439394
1979,47.84,0.362424242
1974,47.838,0.362409091
1975,47.836,0.362393939
1968,47.832,0.362363636
1970,47.831,0.362356061
1965,47.831,0.362356061
1975,47.831,0.362356061
1986,47.824,0.36230303
1984,47.821,0.362280303
1976,47.82,0.362272727
1976,47.811,0.362204545
1962,47.807,0.362174242
1973,47.804,0.362151515
1962,47.801,0.362128788
2000,47.801,0.362128788
1974,47.799,0.362113636
1973,47.798,0.362106061
1972,47.797,0.362098485
1999,47.788,0.362030303
1961,47.788,0.362030303
1960,47.76795668,0.36187846
1970,47.767,0.361871212
1983,47.763,0.361840909
1960,47.75963114,0.361815387
2001,47.759,0.361810606
1996,47.746,0.361712121
1969,47.74,0.361666667
1972,47.739,0.361659091
1998,47.739,0.361659091
1990,47.736,0.361636364
1986,47.731,0.361598485
1985,47.731,0.361598485
1967,47.727,0.361568182
1987,47.724,0.361545455
1966,47.724,0.361545455
1973,47.723,0.361537879
1975,47.722,0.361530303
1969,47.721,0.361522727
1981,47.721,0.361522727
1961,47.712,0.361454545
1979,47.71,0.361439394
1970,47.709,0.361431818
1963,47.706,0.361409091
1965,47.705,0.361401515
1977,47.704,0.361393939
1985,47.701,0.361371212
1967,47.69,0.361287879
1987,47.688,0.361272727
1960,47.68609836,0.361258321
1984,47.686,0.361257576
1961,47.676,0.361181818
1997,47.673,0.361159091
1966,47.671,0.361143939
2001,47.665,0.361098485
1992,47.661,0.361068182
1969,47.66,0.361060606
1965,47.654,0.361015152
2002,47.65,0.360984848
1988,47.646,0.360954545
1966,47.645,0.36094697
1976,47.638,0.360893939
1988,47.634,0.360863636
1979,47.634,0.360863636
1972,47.633,0.360856061
1962,47.631,0.360840909
1964,47.627,0.360810606
1974,47.614,0.360712121
1967,47.614,0.360712121
1960,47.61121705,0.360691038
1964,47.606,0.360651515
1996,47.605,0.360643939
1964,47.603,0.360628788
1973,47.599,0.360598485
1976,47.598,0.360590909
1968,47.591,0.360537879
1974,47.591,0.360537879
1976,47.591,0.360537879
1960,47.588,0.360515152
1984,47.582,0.360469697
1977,47.58,0.360454545
1960,47.58,0.360454545
1964,47.579,0.36044697
1967,47.577,0.360431818
1970,47.576,0.360424242
1960,47.576,0.360424242
2006,47.575,0.360416667
1991,47.574,0.360409091
1971,47.57,0.360378788
1977,47.57,0.360378788
1989,47.558,0.360287879
1971,47.551,0.360234848
1995,47.546,0.36019697
2002,47.545,0.360189394
1975,47.54424279,0.360183658
1964,47.541,0.360159091
1968,47.536,0.360121212
1960,47.531,0.360083333
1975,47.529,0.360068182
1980,47.524,0.360030303
1965,47.515,0.359962121
1969,47.515,0.359962121
1967,47.509,0.359916667
1965,47.505,0.359886364
1965,47.504,0.359878788
1990,47.502,0.359863636
1994,47.502,0.359863636
1970,47.5,0.359848485
1987,47.499,0.359840909
1963,47.497,0.359825758
1962,47.497,0.359825758
1978,47.497,0.359825758
1961,47.496,0.359818182
1984,47.496,0.359818182
2002,47.496,0.359818182
1969,47.496,0.359818182
1985,47.495,0.359810606
1965,47.49091531,0.359779661
1965,47.48378764,0.359725664
1961,47.48,0.35969697
1993,47.475,0.359659091
1991,47.471,0.359628788
2003,47.471,0.359628788
